service_id,date,exception_type
fa343618-f0c9-4323-ab20-867cd279d1dc,20240417,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240418,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240419,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240420,1
0b390844-9953-4b97-b90b-025406946a27,20240421,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240422,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240423,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240424,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240425,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240426,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240427,1
0b390844-9953-4b97-b90b-025406946a27,20240428,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240429,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240430,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240501,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240502,1
fa343618-f0c9-4323-ab20-867cd279d1dc,20240503,1
0e1530cc-6e40-43b5-8e1d-43e0354129f4,20240504,1
0b390844-9953-4b97-b90b-025406946a27,20240505,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240506,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240507,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240508,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240509,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240510,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240511,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240512,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240513,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240514,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240515,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240516,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240517,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240518,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240519,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240520,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240521,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240522,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240523,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240524,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240525,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240526,1
84a181a9-bcea-4cf5-be21-883768b9fa7e,20240527,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240528,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240529,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240530,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240531,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240601,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240602,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240603,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240604,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240605,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240606,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240607,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240608,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240609,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240610,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240611,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240612,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240613,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240614,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240615,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240616,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240617,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240618,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240619,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240620,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240621,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240622,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240623,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240624,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240625,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240626,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240627,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240628,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240629,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240630,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240701,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240702,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240703,1
84a181a9-bcea-4cf5-be21-883768b9fa7e,20240704,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240705,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240706,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240707,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240708,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240709,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240710,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240711,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240712,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240713,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240714,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240715,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240716,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240717,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240718,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240719,1
2cb2254e-620a-457f-a13c-efe2c7e97d43,20240720,1
b9f680f6-0fa5-4fb9-bffa-d3a48651cf68,20240721,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240722,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240723,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240724,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240725,1
bd1f023b-1854-4288-a132-97ae9b736bc2,20240726,1
