shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
17c09e80-b496-42cc-9ce2-11bc70d2c634,40.424317,-86.923096,10,2256.2
d9e7dd6d-56fa-4ab9-b86b-18f57ab95e36,40.4241243257597,-86.9118599243081,35,7682.18
75531d05-f1a5-464f-a991-9cee7f03c7f3,40.4344240089908,-86.9257041469636,1,119.91
c00ee998-8e65-405c-8dce-d0d66a97300e,40.39185,-86.84846,2,118.34
c00ee998-8e65-405c-8dce-d0d66a97300e,40.43219,-86.862337,54,9547.94
c01374f4-4c5d-40d6-ae29-674af9914301,40.4242046889819,-86.9304887677094,3,868.07
55e8db73-883c-44da-8ffe-0bb673265fce,40.4157866785399,-86.8291110890574,44,7327.23
ed2b4b2e-07ca-4297-aab0-bfc74190b50f,40.3929771717177,-86.8481883018129,5,318.14
c8b38e8e-81ed-48fd-968b-14851619707a,40.4199843358984,-86.8954260286943,24,4727.42
a3c93b9d-3771-4795-a049-5c9e1ad68274,40.3845563760135,-86.910862142495,42,5728.98
9c2606ab-128d-4c9a-9fbf-7fe26a74f4fa,40.432257,-86.847354,49,8204.23
b7ef4e53-829f-4e0a-aff9-a380007ff4d9,40.4191327344854,-86.86074372296,31,5731.75
3291c507-52af-4f5a-a675-9ca4a3414ee8,40.4257631555654,-86.8868308893937,22,3592.72
a36ab8ce-df7e-4465-8382-d16340bf2cf9,40.4173141966649,-86.8818594146883,8,1444.92
a71242c1-4d9e-4544-b9fb-85a33be1459a,40.4165430615272,-86.8250153556475,73,9113.91
7a080abe-31e5-4068-a553-2928a8743761,40.381947,-86.85875,17,3573.8
cc3bb77b-1bf1-454c-8569-4f64668caf8e,40.4478795843592,-86.923434119396,42,2127.71
eeb83ce0-d934-4f3d-be0b-501c954043dd,40.4213200760674,-86.8942539032849,33,5939.53
812dbe53-6509-4f19-8747-b99bd795f0df,40.4189134952702,-86.8757903252634,38,6997.13
3c068e88-548a-4008-91f4-00e5b6ca2718,40.4504083498305,-86.9193036078349,34,3519.35
45708703-c5f6-4bd8-a9c9-55ac615984e1,40.4354445895818,-86.8864996365606,9,2602.03
5997802e-5a89-48a8-8cab-5b19811c9705,40.460136912021,-86.9619910804538,5,1840.92
85101d5f-e45c-4ee3-9d01-be05b92d72bb,40.4185252141074,-86.8991596638656,45,9772.46
